"","lon","lat","surv","dose"
"1",132.119,-11.401,100,1.0310287292236
"2",142.319,-11.401,100,3.57437759361331
"3",132.719,-12.001,88.4733208120412,20.4909666870082
"4",133.319,-12.001,55.4974519712136,45.4328049178405
"5",133.919,-12.001,77.2819505936653,30.9748836354572
"6",142.319,-12.001,99.4170890900966,13.3099301009236
"7",142.919,-12.001,79.9884880475328,23.9947315095024
"8",131.519,-12.601,88.3791287147345,21.7324696500283
"9",132.119,-12.601,66.4515062778758,37.038634119063
"10",132.719,-12.601,61.8872053374376,42.6446879618537
"11",133.319,-12.601,99.4828483748332,12.0597421069633
"12",133.919,-12.601,99.6356272841202,9.8313682365925
"13",134.519,-12.601,36.8089133484819,63.9112974718974
"14",135.119,-12.601,36.8426582867232,63.9820772991504
"15",136.319,-12.601,88.7334288673286,17.6894808467722
"16",142.319,-12.601,88.6481068123398,17.9406524878889
"17",142.919,-12.601,77.6410954799992,25.7012066369939
"18",130.319,-13.201,99.5794974892925,12.7528599422368
"19",130.919,-13.201,88.5615045791954,19.4317539905179
"20",131.519,-13.201,77.7030835323998,24.4312583954672
"21",132.119,-13.201,79.9905050541569,24.0179726222698
"22",132.719,-13.201,36.7690990799755,64.8103216518017
"23",133.319,-13.201,66.5874744137019,35.201262019932
"24",133.919,-13.201,74.3279847589781,32.940018251123
"25",134.519,-13.201,29.8586817486132,72.3965019354085
"26",135.119,-13.201,24.3522680707504,73.8759556069127
"27",141.719,-13.201,88.7926364653699,16.0648578229146
"28",142.319,-13.201,77.6960628010804,24.9875022068173
"29",142.919,-13.201,66.3923826269373,37.1241897234796
"30",130.319,-13.801,55.3694424160471,47.6453047641457
"31",130.919,-13.801,55.2392829814416,49.1021654333304
"32",131.519,-13.801,77.6401457212031,25.586582527497
"33",132.119,-13.801,99.6334273893835,10.1159533539854
"34",132.719,-13.801,77.4095083986025,29.1061459409007
"35",133.319,-13.801,88.4420033750789,20.4310278208904
"36",133.919,-13.801,29.8789885961087,72.0229707194519
"37",134.519,-13.801,0,100
"38",135.119,-13.801,0,100
"39",141.719,-13.801,88.3794872429884,21.6232520696233
"40",142.319,-13.801,49.8160653628388,54.1613780935946
"41",142.919,-13.801,10.7180874991764,93.9948370088101
"42",143.519,-13.801,0,100
"43",126.119,-14.401,88.8414802358837,15.2382631090445
"44",126.719,-14.401,29.8879474867991,71.665774801505
"45",127.319,-14.401,69.8597920619969,33.9661655883721
"46",129.719,-14.401,69.8825875848863,34.9888630077673
"47",130.319,-14.401,88.796612279552,16.4277908473622
"48",130.919,-14.401,61.8969544897784,42.3421752592531
"49",131.519,-14.401,66.5231668956219,35.4669900970799
"50",132.119,-14.401,44.0617233998555,59.4885502553135
"51",132.719,-14.401,66.1046456243249,41.4364771339369
"52",133.319,-14.401,66.3864322815695,37.4577725578526
"53",133.919,-14.401,0,100
"54",134.519,-14.401,0,100
"55",135.119,-14.401,0,100
"56",141.719,-14.401,88.7312084663395,17.1605960197392
"57",142.319,-14.401,77.1156584338144,32.4141261816318
"58",142.919,-14.401,44.2981218420667,56.635226353865
"59",143.519,-14.401,10.7850418712985,92.2551022236975
"60",125.519,-15.001,66.3025877282327,39.1128038067955
"61",126.119,-15.001,88.7241209117515,16.3891352920079
"62",126.719,-15.001,100,3.63721947924659
"63",127.319,-15.001,77.4475772367595,28.3811932476768
"64",127.919,-15.001,88.3160193315506,22.2083997975549
"65",128.519,-15.001,10.7269912330174,94.4385448357311
"66",129.119,-15.001,49.8698231806384,53.9620027059544
"67",129.719,-15.001,55.3684228773271,47.5540190980013
"68",130.319,-15.001,88.7056737540278,17.8369823324481
"69",130.919,-15.001,0,100
"70",131.519,-15.001,44.1174951909744,59.0100390332664
"71",132.119,-15.001,61.8651866230223,42.7876918384957
"72",132.719,-15.001,59.8319884596684,44.3485922175518
"73",133.319,-15.001,10.55577586828,98.1574911331491
"74",133.919,-15.001,0,100
"75",134.519,-15.001,0,100
"76",135.119,-15.001,0,100
"77",141.719,-15.001,99.5102486937832,11.8059908825466
"78",142.319,-15.001,88.231535544535,23.0310213125244
"79",142.919,-15.001,69.859943872599,33.9612094724548
"80",143.519,-15.001,9.81892230756206,100
"81",144.119,-15.001,44.1856775472497,57.9493353603528
"82",144.719,-15.001,55.3658430577653,46.1854903843615
"83",145.319,-15.001,99.9044437923394,5.8654652756299
"84",124.919,-15.601,77.6944136127714,25.3105466396691
"85",125.519,-15.601,99.7603342535304,8.36217266432722
"86",126.119,-15.601,99.4162601337527,12.5018040939031
"87",126.719,-15.601,77.1921264815906,31.3709373028144
"88",127.319,-15.601,39.9853193584684,60.6299511391265
"89",128.519,-15.601,0,100
"90",129.119,-15.601,0,100
"91",129.719,-15.601,88.344143265412,22.3433348361447
"92",130.319,-15.601,0,100
"93",130.919,-15.601,0,100
"94",131.519,-15.601,10.5558686067347,98.1575603960854
"95",132.119,-15.601,33.1067031347439,65.7746676726444
"96",132.719,-15.601,33.0994193919197,66.099032714207
"97",133.319,-15.601,32.9383743438581,68.4615249346795
"98",133.919,-15.601,21.7809567835485,78.709571184766
"99",134.519,-15.601,0,100
"100",135.119,-15.601,0,100
"101",135.719,-15.601,0,100
"102",141.719,-15.601,88.7924996211661,16.0458206500466
"103",142.319,-15.601,77.410002350296,29.0964323895466
"104",142.919,-15.601,55.1582843732624,50.0696741953175
"105",143.519,-15.601,77.4946368806001,27.6414176838041
"106",144.119,-15.601,11.6294934708405,85.8806232722845
"107",144.719,-15.601,66.2620704060062,38.5405858579849
"108",124.919,-16.201,66.112971548204,41.1756118373754
"109",125.519,-16.201,88.7422371701823,16.4933354511356
"110",126.119,-16.201,99.8141141518993,7.40212024790795
"111",126.719,-16.201,88.6400755932292,17.4032082217471
"112",127.319,-16.201,88.7999143913288,15.1091308482759
"113",127.919,-16.201,88.6543426365472,17.3243214697807
"114",128.519,-16.201,88.7547624420117,16.0316995279285
"115",129.119,-16.201,0,100
"116",129.719,-16.201,0,100
"117",130.319,-16.201,0,100
"118",130.919,-16.201,0,100
"119",131.519,-16.201,0,100
"120",132.119,-16.201,33.1038482182905,65.7681435843296
"121",132.719,-16.201,39.9677223329725,61.1709464725933
"122",133.319,-16.201,24.2937608508379,74.3543779016172
"123",133.919,-16.201,39.9853654437285,60.631909420539
"124",134.519,-16.201,10.889449243864,89.2837872985608
"125",135.119,-16.201,10.7175660276413,93.9802811810575
"126",135.719,-16.201,0,100
"127",136.319,-16.201,0,100
"128",136.919,-16.201,44.3913820700745,56.1271310260361
"129",137.519,-16.201,77.277518439149,31.218970755316
"130",141.719,-16.201,88.2755592393757,22.7569378629089
"131",142.319,-16.201,66.51469517352,35.6924946295163
"132",142.919,-16.201,44.1676903583681,58.2584987229783
"133",143.519,-16.201,39.9677841352022,61.1703187096031
"134",144.119,-16.201,88.8454632571407,14.7634378290455
"135",144.719,-16.201,99.4206088273243,12.2305248342164
"136",145.319,-16.201,88.4303802782246,20.3122285824507
"137",124.319,-16.801,0,100
"138",124.919,-16.801,0,100
"139",125.519,-16.801,44.0661830334425,59.2187292688468
"140",126.119,-16.801,88.2321318882902,23.1164205716316
"141",126.719,-16.801,77.6287570483208,25.6477502575034
"142",127.319,-16.801,69.863536289072,33.7011042998277
"143",127.919,-16.801,55.4979247388347,44.5275510680965
"144",128.519,-16.801,0,100
"145",129.119,-16.801,0,100
"146",129.719,-16.801,0,100
"147",130.319,-16.801,0,100
"148",130.919,-16.801,0,100
"149",131.519,-16.801,10.7156186334842,94.3356975820073
"150",132.119,-16.801,11.8059846247999,84.5895029964659
"151",132.719,-16.801,44.165547771656,58.2512551336948
"152",133.319,-16.801,33.0426256286567,66.9937326248499
"153",133.919,-16.801,21.7446947923699,79.0842813494243
"154",134.519,-16.801,33.024821036377,67.244764111753
"155",135.119,-16.801,0,100
"156",135.719,-16.801,0,100
"157",136.319,-16.801,0,100
"158",136.919,-16.801,55.2381194044625,49.0713714272237
"159",137.519,-16.801,77.703260432428,24.6076524500453
"160",138.119,-16.801,88.7230271336342,17.1797092236182
"161",141.719,-16.801,69.8931883105447,33.8436017677247
"162",142.319,-16.801,66.1031491359263,41.449259514356
"163",142.919,-16.801,49.8142485938838,54.1554929333187
"164",143.519,-16.801,49.8353860462068,53.60462066265
"165",144.119,-16.801,69.859950252768,33.959631758443
