id,temp,time,sex,rep,prod,dead,t_coma
38-300-F-1,38,48.30623965,F,1,0,1,14.5
38-300-F-2,38,48.30623965,F,2,0,1,20.8
38-300-F-3,38,48.30623965,F,3,0,1,13.42
38-300-F-4,38,48.30623965,F,4,0,1,16.25
38-300-F-5,38,48.30623965,F,5,0,1,12.5
38-300-F-6,38,48.30623965,F,6,0,1,7.5
38-300-F-7,38,48.30623965,F,7,0,1,16
38-300-F-8,38,48.30623965,F,8,0,1,9.58
38-300-F-9,38,48.30623965,F,9,0,1,9.58
38-300-F-10,38,48.30623965,F,10,0,1,17.33
38-300-F-11,38,48.30623965,F,11,0,1,17.33
38-300-F-12,38,48.30623965,F,12,0,1,17.33
38-300-F-13,38,48.30623965,F,13,0,1,17.33
38-300-F-14,38,48.30623965,F,14,0,1,28.22
38-300-F-15,38,48.30623965,F,15,0,1,23.55
38-250-F-1,38,40.25519971,F,1,0,1,13.5
38-250-F-2,38,40.25519971,F,2,0,1,15.42
38-250-F-3,38,40.25519971,F,3,0,1,9.25
38-250-F-4,38,40.25519971,F,4,0,1,23.25
38-250-F-5,38,40.25519971,F,5,0,1,16.07
38-250-F-6,38,40.25519971,F,6,0,1,9.25
38-250-F-7,38,40.25519971,F,7,0,1,1.88
38-250-F-8,38,40.25519971,F,8,0,1,13.75
38-250-F-9,38,40.25519971,F,9,0,1,11
38-250-F-10,38,40.25519971,F,10,0,1,14.33
38-250-F-11,38,40.25519971,F,11,0,1,14.35
38-250-F-12,38,40.25519971,F,12,0,1,14
38-250-F-13,38,40.25519971,F,13,0,1,14.35
38-250-F-14,38,40.25519971,F,14,0,1,14.35
38-250-F-15,38,40.25519971,F,15,0,1,14.5
38-200-F-1,38,32.20415977,F,1,0,1,8
38-200-F-2,38,32.20415977,F,2,0,1,11.33
38-200-F-3,38,32.20415977,F,3,0,1,8
38-200-F-4,38,32.20415977,F,4,0,1,8.15
38-200-F-5,38,32.20415977,F,5,0,1,9.02
38-200-F-6,38,32.20415977,F,6,0,1,8.98
38-200-F-7,38,32.20415977,F,7,0,0,8.77
38-200-F-8,38,32.20415977,F,8,0,1,9.9
38-200-F-9,38,32.20415977,F,9,0,1,8.17
38-200-F-10,38,32.20415977,F,10,0,1,9.52
38-200-F-11,38,32.20415977,F,11,0,1,9.37
38-200-F-12,38,32.20415977,F,12,0,0,9.97
38-200-F-13,38,32.20415977,F,13,0,1,9.13
38-200-F-14,38,32.20415977,F,14,0,1,8.3
38-200-F-15,38,32.20415977,F,15,1.53,0,10.02
38-175-F-1,38,28.1786398,F,1,5.02,0,18.33
38-175-F-2,38,28.1786398,F,2,6.98,0,11.57
38-175-F-3,38,28.1786398,F,3,0,1,9.83
38-175-F-4,38,28.1786398,F,4,0.22,0,15.13
38-175-F-5,38,28.1786398,F,5,0,0,15.18
38-175-F-6,38,28.1786398,F,6,7.85,0,21
38-175-F-7,38,28.1786398,F,7,0.87,0,11.7
38-175-F-8,38,28.1786398,F,8,4.8,0,15
38-175-F-9,38,28.1786398,F,9,4.8,0,15
38-175-F-10,38,28.1786398,F,10,0,1,5.8
38-175-F-11,38,28.1786398,F,11,0,1,
38-175-F-12,38,28.1786398,F,12,0,1,11.5
38-175-F-13,38,28.1786398,F,13,0,1,11.95
38-175-F-14,38,28.1786398,F,14,0,1,8.5
38-175-F-15,38,28.1786398,F,15,3.05,0,12
38-150-F-1,38,24.15311982,F,1,0,0,17
38-150-F-2,38,24.15311982,F,2,3.93,0,13
38-150-F-3,38,24.15311982,F,3,0,0,16.58
38-150-F-4,38,24.15311982,F,4,8.07,0,16.58
38-150-F-5,38,24.15311982,F,5,5.45,0,16.68
38-150-F-6,38,24.15311982,F,6,5.45,0,14.7
38-150-F-7,38,24.15311982,F,7,3.49,0,14.7
38-150-F-8,38,24.15311982,F,8,0,1,14.7
38-150-F-9,38,24.15311982,F,9,6.55,0,14.5
38-150-F-10,38,24.15311982,F,10,7.64,0,22.83
38-150-F-11,38,24.15311982,F,11,0,1,21.5
38-150-F-12,38,24.15311982,F,12,0,0,14.63
38-150-F-13,38,24.15311982,F,13,4.15,0,20.17
38-150-F-14,38,24.15311982,F,14,0,1,14.75
38-150-F-15,38,24.15311982,F,15,3.05,0,21.27
38-125-F-1,38,20.12759985,F,1,7.85,0,10
38-125-F-2,38,20.12759985,F,2,6.55,0,
38-125-F-3,38,20.12759985,F,3,3.71,0,8
38-125-F-4,38,20.12759985,F,4,0,0,10.28
38-125-F-5,38,20.12759985,F,5,2.4,0,9.93
38-125-F-6,38,20.12759985,F,6,5.02,0,10.43
38-125-F-7,38,20.12759985,F,7,0,1,9.97
38-125-F-8,38,20.12759985,F,8,7.42,0,10.92
38-125-F-9,38,20.12759985,F,9,0,1,10.82
38-125-F-10,38,20.12759985,F,10,0,1,10.5
38-125-F-11,38,20.12759985,F,11,0,1,10.52
38-125-F-12,38,20.12759985,F,12,5.45,0,10.87
38-125-F-13,38,20.12759985,F,13,0,0,9.87
38-125-F-14,38,20.12759985,F,14,1.75,0,10.5
38-125-F-15,38,20.12759985,F,15,1.75,0,10.5
38-100-F-1,38,16.10207988,F,1,1.96,0,11.67
38-100-F-2,38,16.10207988,F,2,0.87,0,11.98
38-100-F-3,38,16.10207988,F,3,10.25,0,10.52
38-100-F-4,38,16.10207988,F,4,8.07,0,11.78
38-100-F-5,38,16.10207988,F,5,0,1,10.03
38-100-F-6,38,16.10207988,F,6,3.49,0,11.83
38-100-F-7,38,16.10207988,F,7,5.89,0,10.92
38-100-F-8,38,16.10207988,F,8,0,0,10.73
38-100-F-9,38,16.10207988,F,9,0,0,
38-100-F-10,38,16.10207988,F,10,0,1,14.83
38-100-F-11,38,16.10207988,F,11,3.71,0,14.83
38-100-F-12,38,16.10207988,F,12,9.16,0,14.83
