"dates","DOY","YEAR","DAY","TIME","TC","SHADE","SOLAR","DEP","ACT","TA","TSUB","TSKY","VEL","RELHUM","ZEN","DAYLENGTH","ABSAN","PTCOND","POSTURE","PANT","O2_ml","H2OResp_g","H2OCut_g"
2018-07-01 00:00:00,182,1,1,0,16.41974425696,45,0,0,0,9.81025100798781,36.2206111397827,-2.10271507176918,0.436546979628383,51.9576438868229,90,9.7838118218649,0.85,10,0,1,1.04602394707192,0.000248060355222709,0.00538984192293459
2018-07-01 01:00:00,182,1,1,1,9.36085085578251,45,0,0,0,9.32070566064534,15.182060273944,-3.17944746991833,0.504561529581765,52.8289487135597,90,9.7838118218649,0.85,10,0,1,0.564031914001808,5.9395689079415e-05,0.00272280255493469
2018-07-01 02:00:00,182,1,1,2,8.49497472183495,45,0,0,0,8.95186494740078,12.1150697319445,-3.99665347416226,0.608632573185098,52.2786958416845,90,9.7838118218649,0.85,10,0,1,0.522878018600045,5.05060191548556e-05,0.00281554354096645
2018-07-01 03:00:00,182,1,1,3,8.03905921171032,45,0,0,0,8.71805761356755,10.2221149503727,-4.32802060906999,0.728655800768579,50.6287784126237,90,9.7838118218649,0.85,10,0,1,0.502430037332429,4.79593691560591e-05,0.00310591255792225
2018-07-01 04:00:00,182,1,1,4,7.77076456764876,45,0,0,0,8.61476191105825,8.45821519374205,-3.99451566338615,0.84189673257132,48.3461724099294,90,9.7838118218649,0.85,10,0,1,0.490772702851861,4.77829041154419e-05,0.00345837635641154
2018-07-01 05:00:00,182,1,1,5,7.77077645193646,45,0,0,0,8.59929185391156,7.83954578849348,-3.08867547220837,0.940414225334955,46.0555905145134,90,9.7838118218649,0.85,10,0,1,0.490773213184173,5.02365312004319e-05,0.00388224194644277
2018-07-01 06:00:00,182,1,1,6,7.93751972247523,45,0,0,0,8.62271873268893,8.15850939641082,-1.80012806403209,0.99342635865325,44.3785909651778,90,9.7838118218649,0.85,10,0,1,0.497985955643924,5.38344130952674e-05,0.00422977623655516
2018-07-01 07:00:00,182,1,1,7,7.93465987633513,45,0,0,0,8.65045879310157,7.53662673091446,-0.35045453621774,0.988600390908006,43.7459288266598,90,9.7838118218649,0.85,10,0,1,0.49786135946811,5.43866959390028e-05,0.00426263410550448
2018-07-01 08:00:00,182,1,1,8,7.97547913407504,45,0,0,0,8.67560935171225,7.25350434921681,1.02737271147504,0.952851383268297,44.0394453521861,90,9.7838118218649,0.85,10,0,1,0.499642706793049,5.44717240385016e-05,0.00416086083567886
2018-07-01 09:00:00,182,1,1,9,8.04033110036897,45,0,0,0,8.70424539867116,7.24038472168977,2.1318458219975,0.886961361558038,44.9909052175498,90,9.7838118218649,0.85,10,0,1,0.50248595488331,5.41184662755584e-05,0.00393715786164718
2018-07-01 10:00:00,182,1,1,10,8.14585206057764,45,0,0,0,8.75223691596245,7.54066315463136,2.84933795515343,0.799186869328122,46.3019299440415,90,9.7838118218649,0.85,10,0,1,0.507146839886523,5.37802836579917e-05,0.00364101955145806
2018-07-01 11:00:00,182,1,1,11,8.2411443020065,45,0,0,0,8.86160229974628,7.57949180488529,3.28822943774753,0.733983398747414,47.5852512004981,90,9.7838118218649,0.85,10,0,1,0.511393058619602,5.31150745375704e-05,0.00338996505514209
2018-07-01 12:00:00,182,1,1,12,10.9621444860722,0,4.09509519928903,0,0,8.85484274771934,6.19568542799305,3.69159241879606,0.680938327129837,49.1675480267418,88.8224941761134,9.7838118218649,0.85,10,1,1,0.648862739543938,9.24859365096288e-05,0.00437123821786602
2018-07-01 13:00:00,182,1,1,13,15.7306050578431,0,90.8342010220926,0,0,9.62466323659539,7.52459824114395,4.00718060939562,0.675368111296278,47.9279184481676,78.4337096237659,9.7838118218649,0.85,10,1,1,0.984814280551606,0.00022868627227913,0.00694540975154432
2018-07-01 14:00:00,182,1,1,14,18.9901787044006,0,198.875831800144,0,0,10.9231274639774,9.62728447063346,4.60344159678874,0.674627317291822,44.9117954978196,69.4005535900644,9.7838118218649,0.85,10,1,1,1.30983966015837,0.000405708482758992,0.00915772974366153
2018-07-01 15:00:00,182,1,1,15,21.9062108272214,0,299.893066195888,0,1,12.37203108748,11.7746417320894,5.53722225003429,0.674880057035169,41.6149823983027,62.3395924296459,9.7838118218649,0.85,10,1,1,1.69054741818425,0.000664293840876395,0.0115021089733399
2018-07-01 16:00:00,182,1,1,16,23.5380546550948,0,361.607433168473,0,1,13.4924223669975,13.151287748784,6.69788102177785,0.707181332481394,39.4315365060061,57.992220895574,9.7838118218649,0.85,10,1,1,1.95001262109821,0.000867880091917299,0.0133144840404797
2018-07-01 17:00:00,182,1,1,17,24.3765945669595,0,369.484073890307,0,1,14.2971263707309,14.1403806446837,7.77423920011756,0.705027105671456,38.227250307261,56.9916653603149,9.7838118218649,0.85,10,1,1,2.09846600910173,0.000991527799414108,0.014077858113889
2018-07-01 18:00:00,182,1,1,18,23.9638962432167,0,325.603740846798,0,1,14.4208347256692,14.065933929498,8.49684414143576,0.696286181470499,38.8763175494347,59.5087744586529,9.7838118218649,0.85,10,1,1,2.02404145237646,0.00092009862718545,0.0134728629601892
2018-07-01 19:00:00,182,1,1,19,22.4161138226062,0,243.802494221614,0,1,13.9476294374999,13.1690131625009,8.71905811709649,0.697079968273578,41.2810620265587,65.132819815073,9.7838118218649,0.85,10,1,1,1.76768009118033,0.000703528242735711,0.0118699471133421
2018-07-01 20:00:00,182,1,1,20,20.2970654569524,0,144.888099486929,0,1,13.106460381238,11.9030296342392,8.34813859208833,0.668966003120051,45.0289793306261,73.1413402928079,9.7838118218649,0.85,10,1,1,1.46851988878899,0.000482461962330912,0.00963520035096458
